PRISM Time Series Data
Location:  Lat: 40.8043   Lon: -74.7792   Elev: 863ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-05-14,0.61,45.4,59.4,73.3,55.9,0.04,8.38
2000-05-15,0.00,36.2,50.8,65.4,39.5,0.00,12.63
2000-05-16,0.00,35.8,47.4,59.1,34.4,0.15,10.90
2000-05-17,0.00,37.2,50.2,63.3,37.9,0.00,13.28
2000-05-18,0.00,53.0,60.2,67.4,50.5,0.15,11.47
2000-05-19,1.31,55.6,65.4,75.1,59.8,0.04,10.40
2000-05-20,0.59,43.7,50.5,57.3,45.2,0.16,1.65
2000-05-21,0.56,44.2,46.1,48.0,45.9,0.03,0.84
2000-05-22,0.08,49.3,51.5,53.6,50.9,0.06,1.05
2000-05-23,0.27,50.6,52.1,53.6,50.7,0.10,1.44
2000-05-24,0.80,53.1,56.4,59.6,54.7,0.02,1.37
2000-05-25,0.21,51.1,62.6,74.2,55.4,0.00,13.32
2000-05-26,0.00,47.1,58.1,69.2,47.0,0.20,13.48
2000-05-27,0.00,43.6,57.3,71.0,45.9,0.00,14.94
2000-05-28,0.00,44.0,53.0,61.9,47.6,0.12,7.75
2000-05-29,0.00,49.4,56.9,64.3,47.0,0.56,9.85
2000-05-30,0.00,44.9,53.3,61.7,45.4,0.10,8.27
2000-05-31,0.00,45.3,53.7,62.2,45.7,0.37,8.17
2000-06-01,0.00,47.9,57.5,67.1,50.1,0.19,10.19
2000-06-02,0.00,55.9,68.1,80.4,60.8,0.02,14.51
2000-06-03,0.15,54.9,69.6,84.2,59.6,1.56,18.63
2000-06-04,0.00,43.7,55.8,67.9,45.1,0.09,13.38
2000-06-05,0.00,47.7,57.9,68.1,47.1,0.00,12.33
2000-06-06,0.00,51.7,56.2,60.8,49.4,0.13,6.27
2000-06-07,1.06,47.2,48.8,50.4,48.6,0.00,0.11
2000-06-08,0.00,47.6,58.0,68.5,47.5,0.27,12.86
2000-06-09,0.00,49.2,60.6,72.0,53.4,0.00,12.95
2000-06-10,0.00,56.1,69.1,82.1,60.6,0.00,18.02
2000-06-11,0.00,59.0,71.8,84.6,63.0,0.00,18.95
2000-06-12,1.57,67.7,76.8,86.0,67.4,0.80,16.70
2000-06-13,0.57,54.1,63.5,72.9,56.3,0.16,7.11
2000-06-14,0.08,50.3,52.6,54.8,50.5,0.19,1.34
2000-06-15,0.07,50.2,53.9,57.6,53.0,0.07,2.63
2000-06-16,0.07,55.9,61.2,66.4,61.2,0.15,2.39
2000-06-17,0.00,64.5,71.4,78.2,69.3,0.00,5.80
2000-06-18,0.04,60.1,71.1,82.1,62.9,0.94,15.41
2000-06-19,0.28,59.9,63.0,66.2,59.3,0.16,4.67
2000-06-20,0.00,51.2,59.1,67.1,54.9,0.08,6.77
2000-06-21,0.00,52.1,65.2,78.4,55.5,0.00,17.68
2000-06-22,0.75,58.6,65.9,73.1,64.4,0.00,5.90
2000-06-23,0.00,58.3,68.3,78.3,60.9,0.46,15.09
2000-06-24,0.00,53.8,63.7,73.7,55.6,0.19,12.82
2000-06-25,0.00,58.6,68.5,78.4,61.6,0.00,15.21
2000-06-26,0.02,63.3,73.9,84.6,68.4,0.00,15.65
2000-06-27,0.05,67.1,74.6,82.2,69.8,0.12,10.75
2000-06-28,0.68,59.0,68.4,77.9,63.4,0.05,9.73
2000-06-29,0.07,58.4,66.5,74.6,59.4,0.00,10.88
2000-06-30,0.07,58.0,64.2,70.5,59.1,0.37,7.19
2000-07-01,0.00,53.0,62.4,71.8,53.1,0.66,13.62
2000-07-02,0.00,53.1,64.4,75.7,54.6,0.02,16.57
2000-07-03,0.00,58.0,67.8,77.6,56.6,0.66,19.91
2000-07-04,0.10,60.4,69.1,77.7,65.6,0.00,11.29
2000-07-05,0.01,60.0,69.0,77.9,65.1,0.39,10.62
2000-07-06,0.00,51.6,63.5,75.4,50.6,1.76,17.80
2000-07-07,0.00,52.1,61.8,71.6,49.8,1.44,14.16
2000-07-08,0.00,50.1,59.6,69.1,45.7,1.78,13.00
2000-07-09,0.00,50.3,61.6,72.8,49.0,0.24,16.45
2000-07-10,0.15,58.1,67.1,76.0,61.1,0.00,14.90
2000-07-11,0.00,61.2,71.4,81.6,59.7,3.52,16.89
2000-07-12,0.00,53.8,64.8,75.8,49.3,2.88,17.61
2000-07-13,0.00,56.1,64.8,73.4,51.7,1.32,15.45
2000-07-14,0.00,56.0,66.9,77.8,55.6,0.67,20.05
2000-07-15,0.47,60.6,66.4,72.2,62.6,0.00,6.94
2000-07-16,0.51,62.4,65.2,68.0,63.0,0.06,4.84
2000-07-17,0.21,56.1,63.7,71.2,61.5,0.00,7.75
2000-07-18,0.00,60.0,66.8,73.6,63.1,0.00,8.18
2000-07-19,0.00,50.0,65.0,80.0,56.1,0.54,18.65
2000-07-20,0.17,59.7,59.9,60.2,56.0,1.01,2.99
2000-07-21,0.00,55.6,62.7,69.7,52.1,0.82,11.98
2000-07-22,0.14,50.2,63.1,75.9,58.5,0.00,15.44
2000-07-23,0.00,51.1,62.0,72.8,53.0,0.58,13.29
2000-07-24,0.00,55.5,63.7,71.8,54.2,0.64,11.94
2000-07-25,0.00,56.2,63.2,70.3,58.7,0.00,9.02
2000-07-26,0.14,62.1,67.5,73.0,59.0,0.69,11.98
2000-07-27,1.83,62.0,63.8,65.7,62.5,0.07,1.50
2000-07-28,0.06,62.0,64.6,67.2,63.3,0.01,2.50
2000-07-29,0.00,62.3,67.9,73.5,63.4,0.22,7.75
2000-07-30,0.14,64.0,67.2,70.4,64.5,0.04,4.18
2000-07-31,0.07,66.1,70.1,74.0,68.0,0.00,4.42
2000-08-01,0.18,64.4,70.3,76.2,67.8,0.01,4.76
2000-08-02,0.54,64.3,67.1,69.9,67.1,0.04,3.30
2000-08-03,0.08,66.1,72.0,77.9,69.5,0.00,5.89
2000-08-04,0.64,60.7,68.5,76.3,67.1,0.00,6.10
2000-08-05,0.00,55.6,63.6,71.7,56.7,1.59,8.32
2000-08-06,0.00,53.8,63.3,72.9,53.9,0.19,13.54
2000-08-07,0.10,52.8,61.8,70.7,61.8,0.00,9.37
2000-08-08,0.00,68.2,74.9,81.7,69.3,0.96,11.79
2000-08-09,0.07,66.0,74.6,83.1,65.4,0.20,18.66
2000-08-10,0.01,62.1,72.1,82.1,67.4,0.77,12.61
2000-08-11,0.00,61.9,69.8,77.7,62.8,0.46,13.37
2000-08-12,0.45,62.1,68.9,75.7,63.0,0.65,9.50
2000-08-13,1.29,57.6,60.8,63.9,58.8,0.48,3.51
2000-08-14,0.00,58.2,62.5,66.8,58.9,0.00,5.11
2000-08-15,1.23,58.4,63.9,69.4,60.3,0.09,6.97
2000-08-16,0.27,60.4,67.2,74.0,62.8,0.00,8.90
2000-08-17,0.00,55.9,65.8,75.7,52.5,2.49,16.48
2000-08-18,0.00,53.4,59.8,66.1,52.7,0.43,9.61
2000-08-19,0.13,53.9,56.3,58.7,55.7,0.02,0.65
2000-08-20,0.00,44.8,56.2,67.7,51.6,0.00,9.78
2000-08-21,0.00,45.8,54.7,63.6,45.5,0.22,8.84
2000-08-22,0.00,46.7,56.3,65.9,49.1,0.04,9.16
2000-08-23,0.00,53.9,62.0,70.0,55.0,0.77,10.39
2000-08-24,0.09,54.1,60.2,66.2,60.2,0.00,5.18
2000-08-25,0.00,49.8,61.7,73.7,58.6,0.00,8.71
2000-08-26,0.00,49.8,62.4,75.0,54.8,0.00,15.77
2000-08-27,0.00,54.0,63.6,73.2,57.3,0.00,12.84
2000-08-28,0.00,55.7,65.8,75.9,63.9,0.00,11.16
2000-08-29,0.09,64.1,69.2,74.3,65.5,0.43,5.84
2000-08-30,0.00,59.8,66.5,73.1,60.5,1.01,8.04
2000-08-31,0.00,60.9,68.8,76.8,66.4,0.18,8.63
2000-09-01,0.00,65.8,73.5,81.3,69.7,0.00,12.34
2000-09-02,0.25,67.1,74.1,81.0,70.6,0.00,10.40
2000-09-03,0.00,66.2,74.3,82.4,70.8,0.00,12.33
2000-09-04,0.01,63.5,72.4,81.2,69.6,0.00,10.62
2000-09-05,0.04,44.8,62.6,80.4,54.9,0.61,12.53
2000-09-06,0.34,39.4,52.4,65.4,39.8,0.00,13.71
2000-09-07,0.00,38.6,53.1,67.6,44.7,0.00,13.54
2000-09-08,0.00,42.5,57.0,71.5,49.7,0.00,14.19
2000-09-09,0.00,54.4,64.0,73.7,59.3,0.00,10.89
2000-09-10,0.00,55.6,68.6,81.6,64.7,0.01,16.08
2000-09-11,0.00,58.1,67.7,77.4,63.8,0.00,10.77
2000-09-12,0.00,59.0,67.6,76.2,63.2,0.00,11.64
2000-09-13,0.50,58.9,68.4,78.0,66.0,0.04,10.66
2000-09-14,0.00,44.8,59.9,75.0,52.3,0.18,16.08
2000-09-15,1.11,49.6,62.1,74.6,57.0,0.00,15.43
2000-09-16,0.00,43.8,55.7,67.7,49.2,0.22,11.40
2000-09-17,0.00,37.9,49.6,61.2,41.5,0.01,9.52
2000-09-18,0.00,41.0,53.8,66.5,46.6,0.00,11.88
2000-09-19,0.00,46.8,59.8,72.9,54.3,0.00,13.67
2000-09-20,0.52,51.5,58.8,66.1,58.8,0.00,4.46
2000-09-21,0.00,55.8,68.0,80.2,60.9,0.84,17.35
2000-09-22,0.00,40.8,55.2,69.7,45.7,0.01,13.22
2000-09-23,0.00,39.8,53.1,66.4,47.1,0.00,12.93
2000-09-24,0.17,47.7,55.6,63.5,55.6,0.00,5.48
2000-09-25,0.00,42.2,55.8,69.3,51.6,0.04,5.61
2000-09-26,0.14,44.3,52.0,59.7,42.1,0.41,9.43
2000-09-27,0.64,34.6,42.6,50.7,42.6,0.00,2.44
2000-09-28,0.00,38.9,52.6,66.3,47.3,0.00,11.14
2000-09-29,0.00,29.5,45.3,61.0,40.3,0.01,7.18
2000-09-30,0.00,34.9,46.8,58.7,33.7,0.27,11.05
2000-10-01,0.00,33.6,49.2,64.8,40.6,0.01,12.72
2000-10-02,0.00,41.4,54.4,67.5,48.9,0.02,10.56
2000-10-03,0.00,41.9,56.2,70.5,50.9,0.00,12.63
2000-10-04,0.00,41.5,59.0,76.4,52.3,0.03,15.03
2000-10-05,0.24,47.6,60.3,73.1,52.1,0.12,13.10
2000-10-06,0.14,50.2,53.6,57.0,51.2,0.00,3.94
2000-10-07,0.00,40.0,53.0,65.9,50.1,0.23,5.19
2000-10-08,0.00,30.3,43.1,56.0,33.8,0.21,8.33
2000-10-09,0.00,25.3,36.9,48.5,30.0,0.00,5.70
2000-10-10,0.00,26.9,36.0,45.1,28.0,0.00,5.58
2000-10-11,0.00,36.9,41.8,46.6,31.4,1.49,5.27
2000-10-12,0.00,33.9,48.9,64.0,35.8,0.07,13.36
2000-10-13,0.00,33.2,51.1,68.9,38.3,0.07,16.32
2000-10-14,0.00,39.3,55.6,71.9,40.3,0.03,19.09
2000-10-15,0.00,45.5,60.5,75.4,42.9,0.71,21.20
2000-10-16,0.00,47.4,60.6,73.8,48.2,0.33,16.86
2000-10-17,0.02,44.3,49.8,55.3,47.3,0.26,2.34
2000-10-18,0.05,42.8,47.4,52.0,47.2,0.00,2.30
2000-10-19,0.53,40.1,47.0,53.9,46.9,0.02,2.34
2000-10-20,0.00,29.3,45.6,61.9,36.4,0.00,11.72
2000-10-21,0.00,30.9,48.6,66.4,39.2,0.00,13.73
2000-10-22,0.00,34.0,52.8,71.6,43.2,0.00,15.47
2000-10-23,0.00,26.5,43.9,61.2,27.4,0.18,13.56
2000-10-24,0.00,28.1,44.2,60.3,35.5,0.00,10.94
2000-10-25,0.00,36.7,51.7,66.8,43.3,0.00,13.77
2000-10-26,0.00,39.8,54.8,69.7,48.2,0.00,11.86
2000-10-27,0.00,39.4,54.0,68.7,43.6,0.01,15.59
2000-10-28,0.00,42.6,54.5,66.4,48.5,0.19,10.00
2000-10-29,0.00,31.1,43.0,54.9,22.5,2.51,9.15
2000-10-30,0.00,29.7,37.8,45.8,20.1,1.20,6.98
2000-10-31,0.00,33.4,40.6,47.8,24.5,1.56,6.94
2000-11-01,0.00,34.0,44.5,55.1,30.6,1.01,9.03
2000-11-02,0.00,34.1,45.5,56.9,30.2,1.20,9.94
2000-11-03,0.00,35.9,49.5,63.1,28.6,1.46,15.00
2000-11-04,0.00,35.0,50.1,65.3,36.1,0.46,15.21
2000-11-05,0.00,36.6,51.2,65.9,36.5,0.69,14.10
2000-11-06,0.00,31.5,39.8,48.2,27.9,1.09,6.65
2000-11-07,0.00,30.1,41.5,52.9,29.6,0.31,7.99
2000-11-08,0.00,28.6,42.7,56.9,33.4,0.10,9.24
2000-11-09,0.00,30.8,45.1,59.4,40.1,0.00,9.09
2000-11-10,0.97,46.2,52.7,59.2,46.4,0.03,8.35
2000-11-11,0.18,46.4,50.3,54.3,43.9,0.40,3.87
2000-11-12,0.00,40.3,46.0,51.7,38.7,1.13,4.12
2000-11-13,0.00,36.4,42.6,48.8,34.9,0.61,4.57
2000-11-14,0.00,40.5,44.4,48.2,39.8,0.47,3.50
2000-11-15,0.41,27.5,38.1,48.6,36.5,0.00,2.58
2000-11-16,0.00,26.7,35.2,43.6,25.0,0.71,5.12
2000-11-17,0.00,26.7,36.5,46.2,28.1,0.83,6.42
2000-11-18,0.00,24.8,36.7,48.6,26.9,0.10,6.62
2000-11-19,0.00,24.7,32.7,40.8,22.5,0.68,4.53
2000-11-20,0.00,16.4,26.9,37.3,18.4,0.04,4.08
2000-11-21,0.00,16.7,28.9,41.0,22.2,0.04,4.40
2000-11-22,0.00,20.5,27.5,34.5,16.1,0.83,3.36
2000-11-23,0.00,18.3,24.6,30.9,9.4,1.05,3.57
2000-11-24,0.00,10.8,20.7,30.5,9.1,0.24,3.48
2000-11-25,0.00,12.9,22.8,32.8,11.2,0.23,3.99
2000-11-26,0.57,16.7,27.1,37.6,24.5,0.31,2.66
2000-11-27,0.90,38.5,42.3,46.2,39.7,0.51,2.92
2000-11-28,0.00,37.9,41.8,45.7,35.9,0.74,3.64
2000-11-29,0.00,28.8,36.1,43.5,31.0,0.41,3.60
2000-11-30,0.13,28.4,35.2,42.1,30.3,0.00,3.89
2000-12-01,0.00,25.8,33.9,41.9,23.9,0.50,4.36
2000-12-02,0.00,21.1,28.8,36.5,16.6,1.25,3.76
2000-12-03,0.00,11.4,23.1,34.8,8.2,0.40,4.95
2000-12-04,0.00,11.5,21.7,31.9,10.4,0.33,3.65
2000-12-05,0.00,17.7,30.4,43.1,13.4,0.66,7.22
2000-12-06,0.00,19.5,29.2,39.0,12.6,1.22,4.48
2000-12-07,0.00,19.2,23.1,27.0,8.4,1.11,3.00
2000-12-08,0.05,21.0,26.0,30.9,12.6,0.72,3.49
2000-12-09,0.00,19.6,22.9,26.3,19.5,0.23,1.34
2000-12-10,0.00,12.6,22.7,32.8,11.8,0.19,3.97
2000-12-11,0.00,13.3,24.9,36.5,24.9,0.02,3.24
2000-12-12,0.08,30.6,36.4,42.3,34.1,0.12,1.39
2000-12-13,0.00,14.9,28.7,42.4,10.9,0.91,4.09
2000-12-14,0.86,15.7,24.4,33.0,12.1,0.10,3.57
2000-12-15,0.22,29.4,34.6,39.8,27.5,0.26,2.49
2000-12-16,0.00,23.2,29.3,35.5,20.1,0.47,3.62
2000-12-17,1.17,28.8,42.2,55.6,39.8,0.06,2.10
2000-12-18,1.34,23.6,42.1,60.7,32.1,0.48,4.39
2000-12-19,0.00,19.0,25.3,31.6,14.1,0.42,3.30
2000-12-20,0.14,21.7,24.1,26.5,21.8,0.15,1.43
2000-12-21,0.00,8.0,18.5,29.1,10.6,0.04,2.93
2000-12-22,0.00,10.3,20.6,31.0,15.1,0.15,3.13
2000-12-23,0.05,2.5,15.7,29.0,8.5,0.02,2.25
2000-12-24,0.00,2.8,14.0,25.1,7.4,0.07,2.36
2000-12-25,0.00,9.1,18.1,27.0,8.9,0.22,2.40
2000-12-26,0.00,7.5,12.3,17.1,-1.1,0.60,1.87
2000-12-27,0.00,7.8,16.5,25.3,6.2,0.53,2.62
2000-12-28,0.00,15.2,22.3,29.3,11.4,0.75,2.92
2000-12-29,0.00,11.7,15.3,18.8,4.3,0.65,1.70
2000-12-30,0.22,12.2,16.9,21.6,10.8,0.25,1.47
2000-12-31,0.67,17.2,20.4,23.7,18.8,0.02,1.18
2001-01-01,0.00,11.3,20.0,28.7,9.9,0.32,2.89
2001-01-02,0.00,6.2,19.6,33.0,7.3,0.34,3.94
2001-01-03,0.00,0.5,11.7,22.9,5.7,0.04,2.11
2001-01-04,0.00,3.3,17.5,31.7,11.5,0.12,3.17
2001-01-05,0.00,5.0,16.9,28.7,13.3,0.00,2.40
2001-01-06,0.17,7.0,14.8,22.7,14.8,0.07,1.58
2001-01-07,0.00,10.0,23.3,36.7,18.3,0.00,3.57
2001-01-08,0.00,12.2,27.9,43.6,21.0,0.00,5.74
2001-01-09,0.23,17.6,27.4,37.2,26.1,0.01,2.56
2001-01-10,0.02,17.9,23.5,29.2,11.5,0.79,2.56
2001-01-11,0.00,7.7,18.3,28.8,11.0,0.00,2.84
2001-01-12,0.00,23.2,33.0,42.7,20.6,0.81,4.95
2001-01-13,0.00,8.4,23.6,38.9,15.3,0.00,4.63
2001-01-14,0.00,8.4,24.0,39.6,16.2,0.00,4.59
2001-01-15,0.31,20.3,28.7,37.1,24.8,0.28,3.34
2001-01-16,0.02,20.4,26.6,32.8,26.6,0.00,1.67
2001-01-17,0.00,29.4,34.1,38.9,27.1,0.34,3.21
