PRISM Time Series Data
Location:  Lat: 38.7616   Lon: -83.3984   Elev: 866ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-02-04,0.02,28.0,33.5,38.9,26.9,0.27,2.91
2000-02-05,0.02,22.4,28.3,34.1,23.9,0.36,2.20
2000-02-06,0.00,17.7,27.0,36.3,17.1,0.35,3.95
2000-02-07,0.00,18.7,28.8,39.0,21.7,0.35,3.90
2000-02-08,0.00,20.0,34.0,48.1,24.5,0.21,6.18
2000-02-09,0.00,20.8,33.6,46.4,23.3,0.30,6.10
2000-02-10,0.00,28.0,42.8,57.7,29.1,0.53,10.74
2000-02-11,0.08,33.0,47.2,61.5,37.8,0.23,11.84
2000-02-12,0.00,27.3,35.2,43.1,28.1,0.38,2.09
2000-02-13,0.00,27.6,35.8,43.9,24.6,0.43,5.68
2000-02-14,2.33,33.9,42.8,51.8,39.6,0.06,3.71
2000-02-15,0.00,30.0,35.2,40.3,29.0,0.33,1.83
2000-02-16,0.00,30.1,42.2,54.2,30.4,0.83,8.45
2000-02-17,0.00,25.9,39.1,52.3,26.7,0.91,6.08
2000-02-18,0.72,25.8,34.7,43.6,26.6,0.18,5.43
2000-02-19,2.98,32.9,44.8,56.6,39.4,0.23,4.43
2000-02-20,0.00,30.7,32.9,35.1,26.8,0.70,2.01
2000-02-21,0.00,23.7,31.1,38.5,25.8,0.20,2.96
2000-02-22,0.09,25.0,38.2,51.4,27.9,0.23,8.17
2000-02-23,0.00,37.9,46.1,54.3,37.3,1.05,6.63
2000-02-24,0.00,44.3,56.2,68.1,37.8,1.90,15.85
2000-02-25,0.05,45.1,57.1,69.1,49.3,0.05,11.59
2000-02-26,0.00,48.1,61.7,75.3,50.5,0.52,16.92
2000-02-27,0.18,49.8,62.8,75.8,48.7,0.01,19.50
2000-02-28,0.00,31.2,44.2,57.2,37.7,0.47,6.14
2000-02-29,0.00,27.6,42.6,57.6,26.0,0.37,12.10
2000-03-01,0.00,30.3,47.8,65.4,30.1,0.67,16.48
2000-03-02,0.00,34.9,50.1,65.4,36.9,1.58,11.87
2000-03-03,0.00,26.5,37.9,49.3,25.7,0.47,7.09
2000-03-04,0.00,27.0,37.6,48.3,25.3,0.52,6.99
2000-03-05,0.00,30.7,45.0,59.4,24.0,1.29,13.57
2000-03-06,0.00,33.6,50.8,68.0,33.6,0.68,16.46
2000-03-07,0.00,36.2,53.8,71.4,35.3,0.84,19.12
2000-03-08,0.00,39.3,58.2,77.2,42.2,0.44,22.20
2000-03-09,0.00,46.6,63.2,79.8,45.9,1.62,24.68
2000-03-10,0.00,35.0,55.3,75.6,40.6,0.79,22.25
2000-03-11,0.07,33.5,46.5,59.5,32.5,0.57,9.85
2000-03-12,0.40,27.3,32.8,38.3,29.8,0.12,1.40
2000-03-13,0.00,21.6,32.1,42.6,20.4,0.25,5.76
2000-03-14,0.00,26.2,36.1,46.0,24.3,0.68,6.17
2000-03-15,0.00,35.9,48.8,61.7,32.4,1.75,12.55
2000-03-16,0.21,41.1,55.9,70.7,40.7,0.03,18.04
2000-03-17,1.06,30.7,42.0,53.4,38.3,0.20,2.29
2000-03-18,0.00,24.1,32.7,41.4,19.8,0.86,4.90
2000-03-19,0.22,26.2,39.0,51.8,26.5,0.89,8.26
2000-03-20,0.54,42.4,48.2,53.9,42.8,0.49,4.87
2000-03-21,0.27,43.6,48.8,54.1,45.0,0.17,3.85
2000-03-22,0.00,37.3,46.1,54.9,41.9,0.12,5.19
2000-03-23,0.00,36.8,47.9,59.0,41.6,0.09,7.39
2000-03-24,0.00,38.4,52.3,66.1,43.7,0.11,11.52
2000-03-25,0.00,46.0,61.5,77.0,49.3,1.28,19.99
2000-03-26,0.00,39.4,57.0,74.7,39.1,2.02,18.46
2000-03-27,0.11,41.2,54.0,66.8,33.4,0.81,16.39
2000-03-28,0.28,37.9,48.0,58.1,35.4,0.42,10.12
2000-03-29,0.11,36.5,41.9,47.4,32.7,0.94,4.66
2000-03-30,0.00,32.7,45.0,57.4,32.0,0.49,10.43
2000-03-31,0.00,29.3,44.5,59.7,30.5,0.50,11.29
2000-04-01,0.00,29.9,46.3,62.6,28.4,0.51,14.30
2000-04-02,0.13,36.3,54.6,73.0,40.4,0.39,19.97
2000-04-03,0.31,54.8,59.3,63.9,56.8,0.02,4.31
2000-04-04,0.82,42.4,54.0,65.6,50.5,0.22,6.21
2000-04-05,0.05,31.4,39.4,47.4,27.7,0.91,5.79
2000-04-06,0.00,32.7,45.5,58.2,30.0,2.26,11.42
2000-04-07,0.08,47.3,57.7,68.0,37.6,1.89,15.71
2000-04-08,0.83,43.7,58.9,74.2,48.8,0.21,16.71
2000-04-09,0.06,27.2,36.4,45.5,28.1,0.37,3.69
2000-04-10,0.00,28.7,42.8,56.9,29.0,0.73,9.99
2000-04-11,0.00,37.9,51.0,64.0,32.1,1.56,13.87
2000-04-12,0.28,35.5,46.3,57.1,40.8,0.20,7.10
2000-04-13,0.00,32.5,41.3,50.1,28.0,0.93,7.10
2000-04-14,0.00,34.0,47.2,60.4,33.7,0.60,11.53
2000-04-15,0.00,43.4,58.9,74.5,50.0,0.00,16.07
2000-04-16,0.00,51.5,64.5,77.4,54.4,0.43,17.63
2000-04-17,0.28,53.0,64.1,75.2,54.9,0.06,14.44
2000-04-18,0.72,43.7,54.5,65.3,49.1,0.08,6.31
2000-04-19,0.00,43.4,49.3,55.3,47.3,0.13,3.49
2000-04-20,0.00,49.3,57.6,66.0,49.9,0.52,8.80
2000-04-21,0.09,47.8,64.6,81.3,51.4,0.85,23.40
2000-04-22,0.25,41.6,45.7,49.8,40.9,0.32,2.74
2000-04-23,0.00,35.6,44.5,53.3,40.3,0.08,4.60
2000-04-24,0.00,35.8,51.4,67.0,41.3,0.00,14.87
2000-04-25,0.08,46.1,51.9,57.6,40.8,2.43,7.82
2000-04-26,0.00,34.3,50.8,67.4,34.0,1.01,16.15
2000-04-27,0.00,33.3,48.4,63.5,29.7,0.51,14.81
2000-04-28,0.00,36.5,53.2,69.8,35.0,0.56,18.35
2000-04-29,0.00,39.3,55.1,70.9,37.2,0.77,18.62
2000-04-30,0.00,39.8,55.6,71.4,37.6,0.90,18.96
2000-05-01,0.00,43.9,59.4,74.8,40.7,1.19,21.44
2000-05-02,0.56,45.1,61.2,77.3,50.6,0.02,21.44
2000-05-03,0.00,45.8,59.2,72.5,45.9,0.40,17.85
2000-05-04,0.23,56.6,68.8,81.0,53.5,0.98,23.14
2000-05-05,0.00,57.1,68.5,79.8,61.1,0.00,15.97
2000-05-06,0.00,56.3,69.2,82.1,60.5,0.13,19.25
2000-05-07,0.00,58.0,71.9,85.8,60.2,0.22,24.90
2000-05-08,0.00,60.5,73.0,85.5,61.2,0.05,24.76
2000-05-09,0.00,64.8,75.0,85.1,62.8,2.32,21.14
2000-05-10,0.00,60.0,72.3,84.6,61.2,2.93,20.48
2000-05-11,0.00,46.6,59.3,71.9,44.2,0.96,17.52
2000-05-12,0.00,50.4,65.1,79.7,54.2,3.57,22.07
2000-05-13,0.25,63.4,74.4,85.4,65.6,0.82,18.96
2000-05-14,0.00,43.8,59.0,74.2,46.3,0.66,17.25
2000-05-15,0.00,40.9,54.1,67.3,37.6,0.82,14.81
2000-05-16,0.00,39.7,55.2,70.6,35.9,0.76,18.82
2000-05-17,0.01,47.9,60.1,72.4,44.8,0.44,18.95
2000-05-18,0.16,57.2,68.1,78.9,58.0,1.38,18.24
2000-05-19,0.00,63.7,74.8,85.8,59.9,1.77,27.74
2000-05-20,0.56,54.7,66.1,77.5,58.6,0.49,12.41
2000-05-21,0.03,52.4,58.8,65.3,52.0,0.43,8.13
2000-05-22,0.00,51.1,60.2,69.4,51.8,0.30,11.81
2000-05-23,0.43,53.9,63.8,73.8,55.3,0.00,15.38
2000-05-24,0.12,59.5,67.6,75.7,62.4,0.09,10.36
2000-05-25,0.03,57.3,71.2,85.0,56.6,1.62,24.28
2000-05-26,0.00,47.5,61.7,75.8,46.2,0.66,21.00
2000-05-27,0.01,54.8,65.9,77.1,51.9,0.32,20.57
2000-05-28,0.79,59.0,67.4,75.8,63.0,0.00,8.82
2000-05-29,0.44,55.0,63.8,72.6,57.1,0.23,11.53
2000-05-30,0.00,54.5,59.1,63.8,54.1,0.56,5.07
2000-05-31,0.00,56.0,65.9,75.7,57.5,0.42,13.90
2000-06-01,0.00,59.5,72.2,85.0,65.3,0.00,18.67
2000-06-02,0.00,64.3,75.9,87.5,66.2,0.51,22.24
2000-06-03,0.14,54.4,71.1,87.8,60.5,1.32,21.74
2000-06-04,0.00,49.4,61.5,73.8,49.9,0.65,15.60
2000-06-05,0.00,52.5,65.0,77.5,52.7,0.00,18.72
2000-06-06,0.09,51.0,64.0,77.0,55.1,0.23,14.43
2000-06-07,0.00,45.0,56.8,68.6,45.6,0.43,14.14
2000-06-08,0.00,48.8,62.9,77.0,49.9,0.12,19.65
2000-06-09,0.00,56.3,69.6,82.9,54.1,0.94,25.02
2000-06-10,0.00,62.4,75.2,87.9,60.4,1.76,27.85
2000-06-11,0.00,64.7,77.1,89.5,64.5,0.87,27.46
2000-06-12,0.01,67.3,78.9,90.5,67.4,0.22,26.95
2000-06-13,0.08,66.7,78.0,89.3,67.5,0.20,24.58
2000-06-14,0.00,67.4,78.7,90.1,66.8,1.38,26.94
2000-06-15,0.28,68.0,78.4,88.9,67.8,1.02,23.12
2000-06-16,0.46,68.0,74.0,80.1,66.6,0.70,13.91
2000-06-17,1.13,67.5,76.8,86.0,68.1,0.72,18.20
2000-06-18,1.42,67.0,73.0,78.9,67.0,0.29,11.02
2000-06-19,0.91,61.2,67.9,74.5,62.2,0.43,7.50
2000-06-20,0.00,60.0,69.0,78.0,58.8,0.69,16.51
2000-06-21,0.28,63.2,73.4,83.7,68.7,0.27,14.24
2000-06-22,0.01,64.0,74.0,84.0,66.5,0.27,16.53
2000-06-23,0.00,63.0,73.6,84.3,60.8,1.49,23.12
2000-06-24,0.00,65.3,76.2,87.2,63.2,1.09,25.60
2000-06-25,0.00,68.8,78.9,89.1,66.2,2.04,26.36
2000-06-26,0.15,66.2,75.7,85.2,67.3,0.48,19.27
2000-06-27,0.21,66.3,76.9,87.5,68.2,0.77,20.39
2000-06-28,0.43,61.1,67.8,74.5,61.6,0.68,9.21
2000-06-29,0.00,57.9,67.8,77.7,58.6,0.55,16.14
2000-06-30,0.00,55.1,66.7,78.4,55.0,1.08,18.95
2000-07-01,0.00,54.8,67.4,80.0,53.3,0.69,22.87
2000-07-02,0.00,56.7,69.3,81.9,56.1,0.25,22.72
2000-07-03,0.00,64.8,75.6,86.3,64.0,1.61,23.04
2000-07-04,1.38,66.8,76.3,85.9,69.2,0.00,17.52
2000-07-05,0.69,66.7,76.4,86.0,70.5,0.09,16.30
2000-07-06,0.28,62.6,70.3,78.1,66.5,0.00,9.45
2000-07-07,0.00,58.0,71.0,84.1,62.8,1.07,18.79
2000-07-08,0.00,55.5,68.4,81.3,56.0,1.26,20.34
2000-07-09,0.00,59.6,71.8,84.0,59.2,0.43,23.54
2000-07-10,0.00,68.3,78.5,88.7,69.1,1.73,23.07
2000-07-11,1.69,67.0,77.6,88.3,71.0,0.00,17.15
2000-07-12,0.41,65.2,73.3,81.4,65.5,0.97,12.16
2000-07-13,0.00,63.2,73.8,84.4,64.8,0.00,18.15
2000-07-14,0.00,62.2,74.5,86.9,64.4,0.32,24.10
2000-07-15,0.01,59.7,72.8,85.8,64.0,0.21,20.19
2000-07-16,0.00,59.5,70.6,81.7,61.0,0.33,18.56
2000-07-17,0.00,60.5,71.2,81.9,62.0,0.29,18.61
2000-07-18,0.00,62.4,73.8,85.3,64.6,0.00,22.39
2000-07-19,0.02,65.3,74.7,84.0,66.7,0.88,16.36
2000-07-20,1.10,54.9,63.3,71.8,60.5,0.04,6.90
2000-07-21,0.00,56.6,67.6,78.7,60.2,0.00,16.13
2000-07-22,0.00,56.4,68.0,79.7,57.2,1.05,18.35
2000-07-23,0.00,55.7,67.5,79.4,56.2,0.33,19.45
2000-07-24,0.00,56.4,67.6,78.8,57.0,1.12,18.01
2000-07-25,0.00,57.4,68.0,78.6,56.3,0.66,18.61
2000-07-26,0.00,58.6,69.6,80.6,62.4,0.00,15.67
2000-07-27,0.00,62.1,73.2,84.3,64.8,0.04,20.19
2000-07-28,0.00,65.0,75.7,86.4,65.3,0.84,22.67
2000-07-29,0.55,64.7,74.3,83.9,66.6,0.14,16.58
2000-07-30,0.25,64.9,70.3,75.8,67.1,0.03,7.13
2000-07-31,0.16,66.6,73.5,80.3,68.3,0.15,10.98
2000-08-01,0.29,65.3,74.3,83.2,67.5,0.19,14.90
2000-08-02,0.00,65.4,75.0,84.6,66.2,0.53,19.77
2000-08-03,0.00,66.4,76.2,86.0,67.0,1.05,20.50
2000-08-04,0.00,65.4,74.9,84.4,64.9,0.99,18.56
2000-08-05,0.00,53.4,66.5,79.7,57.1,0.22,19.03
2000-08-06,0.00,57.2,68.8,80.4,59.7,0.62,20.68
2000-08-07,0.26,67.9,77.5,87.1,71.1,1.06,16.07
2000-08-08,0.25,66.5,76.9,87.3,70.1,0.06,16.81
2000-08-09,0.29,66.8,73.8,80.8,70.4,0.00,9.85
2000-08-10,0.71,62.9,76.5,90.2,69.1,0.06,19.23
2000-08-11,0.00,61.3,72.7,84.0,62.9,0.26,20.12
2000-08-12,0.00,56.8,69.6,82.3,60.1,0.46,20.79
2000-08-13,0.00,55.6,67.9,80.1,56.7,0.44,20.40
2000-08-14,0.00,56.0,68.0,80.0,59.9,0.02,17.58
2000-08-15,0.00,58.4,71.2,84.1,61.7,0.00,23.00
2000-08-16,0.00,62.4,74.7,87.0,69.3,0.66,18.75
2000-08-17,0.00,55.7,71.4,87.1,59.0,0.55,28.97
2000-08-18,1.00,58.9,67.3,75.7,63.5,0.06,10.18
2000-08-19,0.00,54.9,65.7,76.6,61.0,0.01,12.20
2000-08-20,0.00,54.0,66.5,78.9,54.6,0.70,17.38
2000-08-21,0.00,53.0,65.2,77.4,54.0,0.89,18.50
2000-08-22,0.00,57.2,69.3,81.3,57.8,0.47,21.44
2000-08-23,0.00,63.7,73.3,82.9,67.1,0.63,15.23
2000-08-24,1.97,65.1,71.7,78.2,68.5,0.00,8.60
2000-08-25,0.11,62.0,70.1,78.1,65.4,0.48,8.83
2000-08-26,0.00,57.3,69.6,81.8,58.6,0.48,21.76
2000-08-27,0.52,59.7,71.1,82.5,63.5,0.01,19.82
2000-08-28,0.06,61.0,70.8,80.7,63.9,0.03,14.13
2000-08-29,0.00,60.7,71.6,82.5,64.0,0.01,17.90
2000-08-30,0.00,62.7,73.9,85.0,65.6,0.07,19.76
2000-08-31,0.00,64.0,74.5,85.1,66.8,0.26,18.59
2000-09-01,0.00,66.0,76.4,86.8,69.1,0.00,19.18
2000-09-02,0.08,68.6,77.1,85.6,70.6,0.21,16.05
2000-09-03,0.07,66.9,76.3,85.8,70.2,0.00,16.92
2000-09-04,0.00,66.2,75.2,84.3,69.7,0.02,14.90
2000-09-05,0.00,58.2,69.5,80.8,60.9,0.75,14.09
2000-09-06,0.00,53.5,61.9,70.3,49.3,2.03,13.20
2000-09-07,0.00,51.6,64.8,78.1,53.5,0.60,17.38
2000-09-08,0.06,59.9,71.0,82.2,60.0,1.21,21.36
2000-09-09,0.36,64.7,70.4,76.1,67.2,0.01,7.18
2000-09-10,0.00,65.9,74.6,83.3,69.5,0.00,14.02
2000-09-11,0.15,66.8,74.2,81.6,69.6,0.00,11.34
2000-09-12,0.41,64.0,70.0,76.0,67.2,0.03,6.95
2000-09-13,0.28,60.5,67.9,75.3,64.4,0.98,7.60
2000-09-14,0.00,54.2,66.5,78.7,56.1,0.25,19.66
2000-09-15,0.00,51.3,64.3,77.3,55.9,0.08,15.87
2000-09-16,0.00,41.3,53.9,66.5,43.9,0.11,12.47
2000-09-17,0.00,39.7,52.7,65.8,40.7,0.15,13.78
2000-09-18,0.00,41.8,57.2,72.7,45.8,0.00,17.72
2000-09-19,0.00,48.2,62.8,77.4,52.8,0.00,19.06
2000-09-20,0.00,50.9,67.1,83.2,53.9,0.02,25.72
2000-09-21,0.43,52.3,68.1,84.0,59.5,0.22,18.99
2000-09-22,0.00,45.3,57.5,69.6,46.6,0.26,12.83
2000-09-23,0.00,50.6,63.9,77.3,60.1,0.48,15.08
2000-09-24,0.56,63.1,73.9,84.6,67.7,0.00,15.38
2000-09-25,0.26,54.1,61.5,68.9,56.5,0.28,4.27
2000-09-26,1.77,46.1,51.0,55.9,46.6,0.27,2.76
2000-09-27,0.00,40.6,52.5,64.3,43.7,0.03,11.35
2000-09-28,0.00,41.9,55.8,69.6,47.3,0.00,13.99
2000-09-29,0.00,40.5,53.6,66.7,44.6,0.12,11.46
2000-09-30,0.00,42.1,54.9,67.6,43.7,0.11,14.00
2000-10-01,0.00,47.9,61.4,74.9,51.4,0.19,16.88
2000-10-02,0.00,52.2,64.1,76.1,55.4,0.16,15.74
2000-10-03,0.00,53.7,67.3,80.8,60.0,0.18,18.32
2000-10-04,0.00,59.1,70.8,82.5,61.9,0.04,18.52
2000-10-05,0.07,59.1,71.0,83.0,60.6,0.08,19.52
2000-10-06,0.33,56.8,69.5,82.1,60.2,0.18,20.39
2000-10-07,0.00,34.8,48.6,62.4,40.0,0.82,7.73
2000-10-08,0.00,29.6,40.1,50.6,27.7,0.49,7.64
2000-10-09,0.00,30.8,39.8,48.8,31.1,0.16,6.49
2000-10-10,0.00,33.4,43.1,52.8,30.2,0.61,8.32
2000-10-11,0.00,33.1,47.7,62.4,30.5,0.59,14.18
2000-10-12,0.00,34.5,51.3,68.2,34.3,0.43,17.22
2000-10-13,0.00,37.2,54.2,71.2,37.7,0.46,18.99
2000-10-14,0.00,40.3,58.0,75.7,40.4,0.68,22.38
2000-10-15,0.00,46.0,62.1,78.2,45.2,1.52,23.40
2000-10-16,0.03,52.1,64.5,77.0,51.8,0.48,19.21
2000-10-17,0.13,53.1,63.3,73.5,55.0,0.30,13.21
2000-10-18,0.27,49.2,56.6,64.1,54.9,0.05,3.44
2000-10-19,0.00,41.1,53.8,66.6,44.6,0.09,12.41
2000-10-20,0.00,41.0,55.9,70.8,45.4,0.13,15.24
2000-10-21,0.00,44.0,59.9,75.8,48.3,0.36,19.01
2000-10-22,0.00,51.4,62.9,74.4,54.4,0.11,14.40
2000-10-23,0.00,51.9,63.6,75.2,54.4,0.51,14.35
2000-10-24,0.03,53.0,64.9,76.8,56.9,0.09,15.34
2000-10-25,0.00,54.6,63.9,73.2,59.3,0.00,9.99
2000-10-26,0.00,52.4,64.5,76.5,57.6,0.04,13.87
2000-10-27,0.00,51.6,65.2,78.8,56.8,0.02,17.11
2000-10-28,0.00,50.9,65.2,79.5,54.7,0.44,19.67
2000-10-29,0.00,31.6,47.0,62.5,40.0,0.26,8.79
2000-10-30,0.00,30.5,46.6,62.6,30.2,0.35,14.08
2000-10-31,0.00,30.1,47.9,65.7,30.6,0.36,16.23
2000-11-01,0.00,31.9,50.0,68.2,31.9,0.43,17.92
2000-11-02,0.00,36.7,53.6,70.5,33.3,0.97,19.15
2000-11-03,0.00,42.1,59.2,76.2,48.1,0.00,19.23
2000-11-04,0.00,47.7,58.5,69.4,47.7,0.27,10.96
2000-11-05,0.00,30.6,43.7,56.8,35.1,0.27,8.39
2000-11-06,0.00,29.9,43.9,58.0,30.3,0.35,10.91
2000-11-07,0.11,34.2,48.0,61.9,40.2,0.40,12.20
2000-11-08,0.00,50.7,60.3,70.0,55.4,0.00,7.84
2000-11-09,0.66,53.6,60.0,66.4,59.0,0.00,2.88
2000-11-10,0.56,38.6,54.4,70.1,51.2,0.07,6.92
2000-11-11,0.00,36.8,40.5,44.1,35.1,0.35,2.88
2000-11-12,0.00,30.9,41.2,51.4,35.0,0.01,5.80
2000-11-13,0.00,33.1,43.2,53.2,36.6,0.24,6.33
2000-11-14,0.04,29.8,41.3,52.7,35.8,0.22,5.33
2000-11-15,0.00,31.1,35.6,40.2,27.2,0.75,3.43
2000-11-16,0.00,28.9,37.7,46.6,26.0,0.62,6.18
2000-11-17,0.00,29.9,39.8,49.7,31.2,1.11,5.01
2000-11-18,0.00,28.4,31.0,33.7,20.5,1.41,2.65
2000-11-19,0.00,25.2,30.1,35.0,19.9,0.78,3.31
2000-11-20,0.00,26.6,35.2,43.7,23.8,0.72,5.78
2000-11-21,0.00,22.2,29.7,37.1,16.1,0.95,4.15
2000-11-22,0.00,14.6,21.3,27.9,10.1,0.59,2.74
2000-11-23,0.00,14.6,26.9,39.3,14.8,0.38,5.02
2000-11-24,0.00,16.8,28.2,39.6,17.0,0.36,4.99
2000-11-25,0.26,19.5,32.9,46.4,23.7,0.40,6.57
2000-11-26,0.20,39.8,45.8,51.7,39.9,0.76,5.47
2000-11-27,0.12,38.1,41.9,45.6,37.6,0.56,2.51
2000-11-28,0.00,31.4,40.3,49.1,32.8,0.33,5.09
2000-11-29,0.00,27.3,36.6,45.9,30.0,0.21,4.31
2000-11-30,0.02,31.5,39.9,48.2,31.3,0.33,5.91
2000-12-01,0.00,28.5,34.5,40.4,30.3,0.09,2.94
2000-12-02,0.07,29.0,35.2,41.4,30.6,0.24,3.09
2000-12-03,0.00,20.4,28.7,37.0,21.2,0.39,3.27
2000-12-04,0.00,14.5,26.1,37.8,16.0,0.20,4.82
2000-12-05,0.00,16.4,27.3,38.2,25.6,0.10,3.45
2000-12-06,0.00,15.6,27.3,39.0,13.5,0.47,4.77
2000-12-07,0.00,16.8,23.0,29.2,15.1,0.50,3.01
2000-12-08,0.00,24.2,32.9,41.6,25.1,0.57,4.30
2000-12-09,0.00,16.0,28.4,40.7,21.6,0.29,3.31
2000-12-10,0.00,20.0,29.1,38.2,20.2,0.38,4.21
2000-12-11,0.00,29.1,37.5,45.8,34.9,0.00,3.64
2000-12-12,0.05,20.5,37.7,54.8,34.4,0.18,5.02
2000-12-13,0.00,19.9,24.3,28.8,16.7,0.41,2.10
2000-12-14,0.83,26.4,31.4,36.5,25.7,0.13,2.29
2000-12-15,0.00,27.3,31.6,36.0,25.3,0.41,1.70
2000-12-16,0.35,29.8,37.3,44.7,32.5,0.31,2.17
2000-12-17,2.01,21.2,38.0,54.9,38.0,0.00,2.05
2000-12-18,0.00,9.4,15.6,21.7,5.9,0.31,1.04
2000-12-19,0.03,10.0,19.8,29.5,16.4,0.12,2.12
2000-12-20,0.03,10.7,15.3,19.9,7.3,0.30,1.23
2000-12-21,0.00,12.1,18.6,25.0,11.8,0.34,1.60
2000-12-22,0.00,4.8,17.5,30.2,11.9,0.35,1.77
2000-12-23,0.00,0.4,6.9,13.3,-1.0,0.16,1.27
2000-12-24,0.00,1.0,15.8,30.6,10.7,0.23,3.12
2000-12-25,0.00,2.1,15.5,28.9,4.6,0.26,2.72
2000-12-26,0.00,3.5,14.3,25.1,2.7,0.32,2.72
2000-12-27,0.02,8.7,17.3,26.0,13.1,0.19,2.64
2000-12-28,0.00,9.8,18.0,26.2,15.7,0.20,1.34
2000-12-29,0.00,8.0,16.5,24.9,6.5,0.33,2.58
2000-12-30,0.04,14.6,19.8,25.0,13.4,0.30,1.88
2000-12-31,0.04,13.4,17.9,22.3,15.1,0.18,1.20
2001-01-01,0.00,18.6,23.2,27.9,18.5,0.24,1.58
2001-01-02,0.00,18.6,24.1,29.6,17.5,0.32,2.21
2001-01-03,0.00,6.0,16.7,27.3,9.4,0.15,2.52
2001-01-04,0.00,4.6,16.8,28.9,15.9,0.00,2.69
2001-01-05,0.00,23.7,29.7,35.7,23.8,0.25,2.44
2001-01-06,0.00,25.4,33.0,40.6,27.2,0.38,3.34
2001-01-07,0.00,24.6,32.8,41.0,24.2,0.41,4.15
2001-01-08,0.00,27.8,37.8,47.7,27.5,0.43,5.72
2001-01-09,0.00,13.6,23.3,33.1,16.7,0.31,2.70
2001-01-10,0.00,13.5,21.5,29.5,13.0,0.51,3.00
2001-01-11,0.00,16.1,29.3,42.4,17.0,0.30,5.95
2001-01-12,0.00,20.5,32.9,45.3,21.7,0.65,6.68
2001-01-13,0.00,19.9,34.3,48.6,22.9,0.01,8.11
2001-01-14,0.00,23.1,37.9,52.8,27.0,0.22,9.14
2001-01-15,0.02,31.7,38.8,45.9,38.8,0.04,2.66
2001-01-16,0.00,33.6,39.9,46.2,31.3,0.71,4.05
2001-01-17,0.00,30.3,33.1,35.9,26.8,0.78,2.18
